time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,50,50,50,0.00015400000000020952,0.00017900000000015126,0.00013600000000035806,50,50,50,0.00015400000000020952,0.00017900000000015126,0.00013600000000035806,0.2443296233863741,0.07638991070194523,0.2443296233863741
1,50,50,50,8.60000000000305e-05,0.00011699999999992272,0.00011099999999997223,100,100,100,0.00024000000000024002,0.000296000000000074,0.0002470000000003303,0.6062752931338877,0.591155334632878,0.6062752931338877
2,50,50,50,0.00010100000000035081,0.00019200000000019202,0.00012999999999996348,150,150,150,0.00034100000000059083,0.000488000000000266,0.00037700000000029377,0.561193751497657,0.5411781161209124,0.561193751497657
3,50,50,50,0.00011099999999997223,0.00016299999999969117,0.00020200000000025753,200,200,200,0.00045200000000056306,0.0006509999999999572,0.0005790000000005513,0.5615626827646418,0.5353892064399117,0.5615626827646418
4,50,36,50,0.0001020000000000465,0.00013700000000005375,0.00011900000000020228,250,236,250,0.0005540000000006096,0.0007880000000000109,0.0006980000000007536,0.6753080823464548,0.5353892064399117,0.6753080823464548
5,50,23,50,9.69999999997917e-05,0.00011699999999992272,0.00011699999999992272,300,259,300,0.0006510000000004013,0.0009049999999999336,0.0008150000000006763,0.7271945082370634,0.5353892064399117,0.7271945082370634
6,50,10,50,0.000144000000000144,9.799999999993148e-05,0.00014599999999997948,350,269,350,0.0007950000000005453,0.0010029999999998651,0.0009610000000006558,0.5485702179695913,0.5353892064399117,0.5485702179695913
7,50,10,50,0.00012499999999970868,0.00011300000000025179,0.00014699999999967517,400,279,400,0.000920000000000254,0.001116000000000117,0.001108000000000331,0.45461539880440394,0.5353892064399117,0.45461539880440394
8,50,10,50,0.00011600000000022703,0.00010900000000013677,0.00014100000000016877,450,289,450,0.001036000000000481,0.0012250000000002537,0.0012490000000004997,0.41951387628536596,0.5353892064399117,0.41951387628536596
9,50,10,50,0.00014799999999981495,0.0001020000000000465,0.00016399999999983095,500,299,500,0.001184000000000296,0.0013270000000003002,0.0014130000000003307,0.3658155897431994,0.5353892064399117,0.3658155897431994
